,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Species
2529,15-Oct-1992,1992.0,Unprovoked,AUSTRALIA,New South Wales,Avalon Beach,Scuba diving,M,-,Minor injury while delivering pup of female shark caught in a net,Grey nurse shark
2530,11-Oct-1992,1992.0,Unprovoked,BRAZIL,Maranhão,"Praia de São Marcus, Sáo Luiz",Boogie boarding,-,-,Legs bitten,-
2531,01-Oct-1992,1992.0,Unprovoked,AUSTRALIA,Queensland,"North Point Beach, Moreton Island",Surfing,M,28,FATAL,4.2 m white shark
2532,18-Sep-1992,1992.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Body boarding,M,-,Left leg severely bitten,-
2533,13-Sep-1992,1992.0,Unprovoked,USA,Oregon,"Gold Beach, Curry County",Surfing,M,20,Minor bruises,4 m to 5 m [13' to 16.5']  white shark 
2534,11-Sep-1992,1992.0,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Standing,F,18,Right ankle & calf bitten,-
2535,10-Sep-1992,1992.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,-,FATAL,-
2536,Sep-1992,1992.0,Unprovoked,USA,Florida,St Lucie County,Surf fishing,M,-,"Foot bitten, 8 stitches needed to repair the wound",-
2537,29-Aug-1992,1992.0,Unprovoked,BAHAMAS,Abaco Islands,Double Breasted Cays ,"Snorkeling, carrying a speared fish in her hand",F,34,Left hand bitten,1.8 m [6'] blacktip shark
2538,25-Aug-1992,1992.0,Unprovoked,AUSTRALIA,South Australia,"Lipson Cove, Tumby Bay",Surfing,M,17,"Minor cuts, sufboard bitten",4 m white shark
2539,21-Aug-1992,1992.0,Invalid,USA,Hawaii,"Twin Arches, Hana Ranch, Maui",Fell from cliff while fishing & disappeared in strong current,M,-,Body recovered next morning. Injuries appeared to be inflicted post mortem,Questionable incident
2540,18-Aug-1992,1992.0,Unprovoked,USA,California,"Klamath River, Del Norte County",Surfing,M,22,"No injury, board bitten",5.5 m to 6 m [18' to 20'] white shark
2541,17-Aug-1992,1992.0,Provoked,USA,Florida,"Manalapan, Palm Beach County",Snorkeling,M,26,"Grabbed metal leader to shark, shark clamped on  & bit  left bicep PROVOKED INCIDENT","Nurse shark, 3', 20-lb "
2542,Aug-1992,1992.0,Invalid,USA,Florida,St. Lucie County,Fisherman,M,-,No details,Questionable incident
2543,23-Jul-1992,1992.0,Invalid,USA,Hawaii,"Wai'anae, O'ahu","Zosimo & his son, Jeffrey Popa, failed to return from overnight fishing trip in a 14' boat, Boat apparently sank, debris recovered but his son & boat were never found",M,-,"Death due to drowning. His body, tied to floating ice chest, had 2 small post-mortem bites due to cookie cutter shark",Invalid
2544,21-Jul-1992,1992.0,Unprovoked,USA,Florida,"Manasota Beach, Sarasota County",Standing,F,42,Lacerations to left foot,"""a small shark"""
2545,08-Jul-1992,1992.0,Unprovoked,BRAZIL,Maranhão,"Praia da Marcela, São Marcos Bay",Surfing,M,-,Arm bitten,-
2546,08-Jul-1992,1992.0,Unprovoked,BRAZIL,Maranhão,"Praia da Marcela, São Marcos Bay",Surfing,M,-,"Lower leg bitten, surgically amputated",-
2547,28-Jun-1992,1992.0,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,-,FATAL,-
2548,28-Jun-1992,1992.0,Unprovoked,REUNION,Saint-Paul,Cap de la Marianne,Surfing,M,16,FATAL,Bull shark or lemon shark
2549,19-Jun-1992,1992.0,Unprovoked,VANUATU,Malampa Province,"Port Sandwich, Malakula",Swimming,F,21,Right leg was bitten above and below the knee and an artery was punctured,-
2550,17-Jun-1992,1992.0,Boat,JAPAN,Ehime Prefecture,"1.5 km north of Igata-cho, 60 km south of Matsyama",Preparing to fish for jack-mackerel,-,-,"No inujury to occupant. Shark bit boat repeatedly, leaving  2 teeth in the bottom keel of the boat","White shark, identification by K. Nakaya"
2551,Jun-1992,1992.0,Unprovoked,REUNION,Saint-Paul,-,Diving,-,-,Survived,Mako shark
2552,31-May-1992,1992.0,Invalid,USA,North Carolina ,Wreck of the U-352 ,Scuba diving ,M,45,Disappeared. His ripped dive jacket was recovered,Shark involvement prior to death was not confirmed
2553,22-May-1992,1992.0,Unprovoked,REUNION,Saint-Joseph,Lieu-dit Cayenne,Surfing,M,-,FATAL,"Tiger shark, 3 m to 4 m [10' to 13'] "
2554,May 1992,1992.0,Unprovoked,MEXICO,Mexico / Caribbean Sea,Isla Mujeres,Scuba diving & filming,M,-,"Fingers, hand & arm bitten",-
2555,24-Apr-1992,1992.0,Unprovoked,NEW ZEALAND,Antarctic Ocean,"Meteorologic Station on Campbell Island, 370 nautical miles south of New Zealand",Snorkeling,M,-,"Right forearm severed, left forearm lacerated & broken","4 m [13'], 590-kg white shark"
2556,09-Apr-1992,1992.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,35,Punctures & lacerations on lower leg,>2 m shark
2557,28-Mar-1992,1992.0,Unprovoked,USA,Hawaii,"Cannons, at Ha'ena on the north shore of Kaua'i Island","Surfing, paddling seawards",F,36,"Foot bitten, crescent of bitemarks in both sides of board",Tiger shark
2558,10-Mar-1992,1992.0,Unprovoked,AUSTRALIA,Victoria,Point Lonsdale,Surfing,M,17,"Right thigh, back & hand lacerated","Bronze whaler shark, 3 m"
2559,08-Mar-1992,1992.0,Unprovoked,JAPAN,Ehime Prefecture,Matsuyama,Hookah diving for pen shells ,M,41,"FATAL, body not recovered","5 m [16.5'] white shark, identification by K. Nakaya"
2560,08-Mar-1992,1992.0,Boat,JAPAN,Ehime Prefecture,"Nagahama-cho, 40 km southwest of Matsuyama ","Fishing for yellowtail, Seriola quinqueradiata",-,-,No injury to boat or occupant,-
2561,08-Mar-1992,1992.0,Unprovoked,USA,Oregon,"Winchester Bay, Douglas County",Surfing (sitting on his board),M,21,"Left shoulder & side bitten, board broken",Said to involve a 6 m to 7 m [20' to 23'] white shark
2562,19-Feb-1992,1992.0,Unprovoked,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",Body boarding,M,-,FATAL Disappeared. His board washed ashore next morning with crescent-shaped piece missing and serrated toothmarks of a shark,Tiger shark?
2563,14-Feb-1992,1992.0,Unprovoked,JAPAN,Ehime Prefecture,Matsuyama,Diving for pen shells,M,-,"No injury, steel diving helmet bitten 3 times",5 m [16.5'] shark
2564,09-Feb-1992,1992.0,Invalid,AUSTRALIA,Tasmania,"Clifton Beach, southwest of Hobart",Surfing,M,19,"No injury, shark allegedly took his surfboard & slashed his wetsuit. Shark involvement questionable",Questionable incident
2565,29-Jan-1992,1992.0,Unprovoked,REUNION,La Saline-les-Bains,Revine-3-Bassins,Spearfishing,M,-,Survived,1.8 m grey shark
2566,29-Jan-1992,1992.0,Unprovoked,AUSTRALIA,New South Wales,Tweed Heads,Boogie boarding,M,19,Right leg lacerated,"Bronze whaler shark, 2.3 m [7.5'] "
2567,23-Jan-1992,1992.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Isipingo,Swimming ,M,19,Right foot lacerated,"Zambesi shark, 1.7 m [5.5'] "
2568,08-Jan-1992,1992.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sheffield Beach,Spearfishing,M,36,Left cheek lacerated,Possibly a 1.5 m [5'] blacktip shark
2569,06-Jan-1992,1992.0,Unprovoked,MAURITIUS,-,Mahebourg,Fishing,M,-,Survived,Grey reef shark
2570,03-Jan-1992,1992.0,Unprovoked,JAPAN,Ehime Prefecture,Matsuyama,-,M,-,Survived,-
2571,Jan-1992,1992.0,Invalid,JAPAN,Sea of Japan,Kanazawa?,-,-,-,Survived. questionable incident,Questionable incident
2572,1992,1992.0,Unprovoked,FIJI,Tavenui,-,-,M,33,FATAL,-
2573,04-Dec-1991,1991.0,Unprovoked,USA,California,"Shelter Cover, north of Fort Bragg, Shelter Cove, Mendocino County",Hookah diving for sea urchins,M,25,"No injury, shark became tangled in hose & towed him 100'",6 m [20'] white shark
2574,26-Nov-1991,1991.0,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,41,"FATAL, right leg at hip, left leg and right forearm severed  ","Tiger shark, 2.4 m 3.4 m [8' to 11']  "
2575,26-Nov-1991,1991.0,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,-,Right calf abraded,"Tiger shark, 2.4 m 3.4 m [8' to 11']  "
2576,19-Nov-1991,1991.0,Unprovoked,USA,Hawaii,"Maliko Point, Maui","Fishing from rocks, swept out to sea by large wave & treading water",M,-,"Body not recovered, shorts found indicating shark bite on left side","Tiger shark, 3.7 m [12'] "
2577,14-Nov-1991,1991.0,Provoked,USA,Florida,Near Port Canaveral Coast Guard Base,Fishing,M,-,Hand bitten as he was cleaning hooked shark PROVOKED INCIDENT,2.4 m [8'] shark
2578,Nov-1991,1991.0,Unprovoked,AUSTRALIA,Western Australia,"Backbeach, Halls Head",Boogie boarding,M,14,Calf scratched & chunk bitten from board,"""small shark"""
2579,12-Oct-1991,1991.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,21,Right foot & ankle lacerated,1.8 m [6'] shark
2580,05-Oct-1991,1991.0,Unprovoked,USA,California,"Horseshoe Reef, Scott Creek, Davenport, Santa Cruz County",Surfing,M,32,"Arm, shoulder & back bitten",5 m to 6 m [16.5' to 20'] white shark
2581,19-Sep-1991,1991.0,Invalid,BAHAMAS,-,Bimini,Spearfishing,M,32,"Initally reported as a shark attack, forensic examination concluded cause of death was drowning",Invalid
2582,08-Sep-1991,1991.0,Unprovoked,AUSTRALIA,South Australia,"Snapper Point, Aldinga Beach, Adelaide",Scuba diving,M,19,FATAL,4 m [13'] white shark
2583,30-Aug-1991,1991.0,Provoked,AUSTRALIA,Queensland,"On board the Japanese longline trawler Fukuya No.38, 100 nm northeast of Brisbane",Finning the shark that bit him,M,36,"Shark bit his arm, nearly severing it PROVOKED INCIDENT","3 m [10'], 270- kg [595-lb] shark"
2584,26-Aug-1991,1991.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,23,Deep cuts on lower leg,sand shark
2585,12-Aug-1991,1991.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Wading,F,10,Bite to left thigh & calf,3' shark
2586,09-Aug-1991,1991.0,Provoked,USA,Florida,Florida Bay,Fishing,M,-,Laceration to right forearm PROVOKED INCIDENT,"Lemon shark, 30-lb "
2587,30-Jul-1991,1991.0,Boating,ITALY,Ligurian Sea,"Portofino, 20 miles offshore, Tigullio Bay, Santa Margherita Ligure (Liguria)",Canoeing,F,40,No Injury to occupant; canoe bitten,4 m [13'] white shark
2588,27-Jul-1991,1991.0,Unprovoked,USA,Florida,"John Pennekamp Marine Park, Monroe County",Snorkeling,M,39,Arm bitten,"2.1 m [7'], 140-lb reef shark"
2589,18-Jul-1991,1991.0,Unprovoked,USA,Florida,150 miles from Crystal River,Swimming from makeshift raft  to life vest after fishing boat sank,M,42,Punctures in lower abdomen & groin ,1.8 m [6'] blacktip shark
2590,07-Jul-1991,1991.0,Unprovoked,USA,Florida,"South Miami Beach, Dade County",Swimming,M,22,Arm bitten,-
2591,01-Jul-1991,1991.0,Unprovoked,REUNION,L'Etang-Salé,"Ravine des Sables, Saint Leu",Surfing,M,30,Left arm severed,"Tiger shark, 3 to 4 m [10' to 13'] "
2592,01-Jul-1991,1991.0,Unprovoked,USA,California,"8.5 miles south of Ano Nuevo State Reserve, Davenport County",Surfing,M,32,"Forearm, upper thigh, knee & ankle lacerated",5 m [16.5'] white shark
2593,July 1991,1991.0,Unprovoked,USA,Virginia,"Croatan Beach, Virginia Beach, ",Boogie boarding,M,13,Severe laceration to foot,Shark involvement not confirmed
2594,29-Jun-1991,1991.0,Unprovoked,HONG KONG,-,"Basalt Island, 9km from Silverstrand",-,M,22,FATAL,-
2595,28-Jun-1991,1991.0,Unprovoked,HONG KONG,Kowloon Peninsula,Sai Kung,Fishing,M,-,"FATAL, right arm severed  ",-
2596,26-Jun-1991,1991.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,18,Hand bitten,-
2597,07-Jun-1991,1991.0,Unprovoked,USA,Florida,"Tampa Bay, Hillsborough County",Swimming behind sailboat,M,31,"Left ankle, calf, thigh and abdomen bitten",2.7 m [9'] bull or lemon shark
2598,07-Jun-1991,1991.0,Unprovoked,HONG KONG,Port Shelter,"Silverstrand Beach, near Hung Hau ",Swimming ,F,65,Abdomen bitten & leg severed  FATAL,"Tiger shark, >3 m [10']"
2599,26-May-1991,1991.0,Unprovoked,USA,Hawaii,"Ma'ili Beach, O'ahu",Sitting on surfboard,M,23,Right calf bitten,2.4 m [8'] shark
2600,19-May-1991,1991.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Gordon’s Bay,Scuba diving,M,-,"No injury, tank scratched by shark","3.5 m [11.5'] female white shark named ""Notchfin"""
2601,24-Apr-1991,1991.0,Provoked,BRAZIL,Pernambuco,"Praia de Pau Amarelo, Recife",Fishing,-,-,2 fingers severed by netted shark PROVOKED INCIDENT,"170-kg, 2.8 m shark"
2602,16-Apr-1991,1991.0,Provoked,USA,Maryland,Baltimore Aquarium,Diving,-,-,Minor injury by captive shark PROVOKED INCIDENT,7' female shark
2603,16-Apr-1991,1991.0,Unprovoked,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County","Surfing, collided with shark",M,22,Right thigh,1.2 m to 1.5 m [4' to 5'] shark
2604,03-Apr-1991,1991.0,Unprovoked,USA,Hawaii,"One'ula Beach Park, 'Ewa Beach, O'ahu",Sitting on surfboard,M,-,Deep lacerations to calf & ankle,"""Shark had a very large girth"""
2605,03-Mar-1991,1991.0,Unprovoked,AUSTRALIA,New South Wales,Bass Point,Scuba diving,M,18,Lacerations to arm & leg,"Grey nurse shark, 2 m"
2606,24-Feb-1991,1991.0,Unprovoked,USA,Oregon,"Neskowin, Tillamook County",Surfing,M,38,Calf lacerated & board bitten,5.5 m [18'] white shark
2607,12-Feb-1991,1991.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Miller’s Point,Spearfishing,M,20,Foot & swim fin bitten,5.5 m [18'] white shark
2608,19-Jan-1991,1991.0,Unprovoked,AUSTRALIA,Queensland,Mermaid Waters,Swimming,M,35,"Hands, legs & buttocks lacerated",-
2609,09-Jan-1991,1991.0,Unprovoked,AUSTRALIA,Western Australia,Scarborough,Surf-skiing,M,-,"No injury, shark brushed ski",4 m shark
2610,Jan-1991,1991.0,Unprovoked,AUSTRALIA,Queensland,Pelican Banks near Gladstone,Surfing (or sailboarding),M,22,Survived,2 m shark
2611,26-Dec-1990,1990.0,Invalid,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,-,M,-,Survived,Questionable incident
2612,28-Nov-1990,1990.0,Unprovoked,AUSTRALIA,Queensland,Nerang River,Swimming ,M,26,"Abdomen, hip, leg & arm bitten",1.5 m shark
2613,03-Nov-1990,1990.0,Unprovoked,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Scuba diving (but on surface),F,-,Leg bitten,4 m to 5 m [13' to 16.5'] white shark
2614,01-Nov-1990,1990.0,Unprovoked,USA,Florida,"Spanish River Park Beach, Palm Beach County",Surfing,M,24,"Ear, shoulder, arm, wrist & ear injured",5' shark
2615,30-Oct-1990,1990.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,50,"Hand & wrist bitten, tooth fragments in wound",1.8 m [6'] shark 
2616,30-Oct-1990,1990.0,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,M,18,Cuts on left foot ,-
2617,27-Oct-1990,1990.0,Unprovoked,AUSTRALIA,Queensland,Mermaid Waters,Swimming,M,26,Buttocks & hip bitten,-
2618,25-Oct-1990,1990.0,Unprovoked,AUSTRALIA,South Australia,Goolwa Beach,Surfing,M,-,Lacerations to foot,-
2619,20-Oct-1990,1990.0,Unprovoked,USA,Florida,"North end of County Beach, Palm Beach County",Surfing,M,25,Wrist bitten,4' spinner shark
2620,15-Oct-1990,1990.0,Unprovoked,USA,Hawaii,"Hanalei Point, Kaua'i",Surfing,M,43,"No Injury, board bitten","Tiger shark, 3.7 m [12'] "
2621,12-Oct-1990,1990.0,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,M,19,Superficial injuries to left foot & ankle,1.8 m to 2.4 m [6' to 8'] shark
2622,15-Sep-1990,1990.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Oudekraal,Spearfishing,M,26,Right hand lacerated,5 m  [16.5'] white shark
2623,08-Sep-1990,1990.0,Unprovoked,USA,California,"Russian Gulch, Jenner, Sonoma County","Free diving / spearfishing, from paddleboard & floating on the surface",M,49,"Shark rammed & overturned paddleboard, knocking him into water & bit his head, lacerating his face & neck",White shark
2624,05-Sep-1990,1990.0,Boating,USA,California,"Trinidad State Beach, Humboldt County",Kayaking,M,44,"No injury, kayak capsized",2.5 m to 3 m [8.25' to 10']  white shark
2625,30-Aug-1990,1990.0,Invalid,USA,Florida,"Juno Beach / North Palm Beach, Palm Beach County",SCUBA diving,M,30,"Disappeared, body recovered with large bite on thigh",Shark involvement prior to death could not be determined
2626,28-Aug-1990,1990.0,Unprovoked,USA,California,"Trinidad Head, Humboldt County",Surfing,M,22,4 punctures on leg & board bitten,5 m to 6 m [16.5' to 20'] white shark
2627,19-Aug-1990,1990.0,Unprovoked,USA,Texas,"Mustang Island, Nueces County",Surfing,M,-,Minor cuts to foot,-
2628,19-Aug-1990,1990.0,Unprovoked,USA,Texas,"Near Port Aransas, Nueces County",Wade fishing,M,18,Minor injury,-
2629,22-Jul-1990,1990.0,Unprovoked,USA,Texas,"Mustang Island State Park, Nueces County",Wading,F,53,10-inch laceration to right foot,-
2630,08-Jul-1990,1990.0,Unprovoked,USA,Florida,"Perdido Key near the Florida Panhandle, Escambia County",Surfing,M,17,Minor injury to left ankle & foot,-
2631,24-Jun-1990,1990.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Scuba diving (but on surface),F,21,"FATAL, thigh bitten  ","4.5 m [14'9""] white shark"
2632,23-Jun-1990,1990.0,Unprovoked,BAHAMAS,-,Bimini,Spearfishing,M,38,Left forearm bitten,1.2 m to 1.5 m [4' to 5'] shark
2633,13-May-1990,1990.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,Protea Reef,Fishing,-,-,"No injury to occupants, hooked shark freed itself, then rammed stern of boat PROVOKED INCIDENT","6 m, 600-kg shark"
2634,10-May-1990,1990.0,Unprovoked,AUSTRALIA,Queensland,Outer Barrier Reef near Port Douglas,Snorkeling,F,30s,Lacerations,2 m hammerhead
2635,10-May-1990,1990.0,Unprovoked,AUSTRALIA,Queensland,Outer Barrier Reef near Port Douglas,"Snorkeling, possibly holding a fish",M,30s,Lacerations,2 m hammerhead
2636,06-May-1990,1990.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cintsa East,Resting on surfboard,M,22,Thigh severely lacerated,"5.5 m [18'] white shark, identified by witnesses & tooth marks"
2637,14-Apr-1990,1990.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Lying on surfboard & paddling,M,23,Leg bitten,"2.3 m [7.5'] white shark, identified by M. Smale"
2638,09-Apr-1990,1990.0,Unprovoked,AUSTRALIA,Queensland,Greenmount Beach,Surfing,M,31,"Lacerations & abrasions, board bitten in half","Tiger shark, 3 m "
2639,08-Apr-1990,1990.0,Unprovoked,AUSTRALIA,Queensland,"Dingo Reef, 80 nm off Townsville",Free diving for trochus,M,37,Presumed FATAL,-
2640,07-Apr-1990,1990.0,Unprovoked,AUSTRALIA,Queensland,Fingal Beach,Surfing,M,-,"No injury, board broken in two",3 m shark
2641,06-Apr-1990,1990.0,Unprovoked,AUSTRALIA,Queensland,Fingal Beach,Surfing,M,29,"No injury, board bitten",3 m shark
2642,01-Apr-1990,1990.0,Unprovoked,USA,Hawaii,"Silver (Silva) Channels, Waialua, O'ahu",Sitting on surfboard,M,-,"Ankle lacerated, lower left leg severely abraded ",-
2643,  24-Mar-1990,1990.0,Unprovoked,FIJI,Laucala Island,-,Swimming,M,30,Lacerations to right leg,-
2644,05-Mar-1990,1990.0,Unprovoked,REUNION,Sainte-Marie,Baie de la Mare,Surfing,M,-,Survived,3 m [10'] bull shark
2645,17-Feb-1990,1990.0,Unprovoked,USA,Hawaii,"Mokapu, Kane'ohe Marine Air Corps Station, O'ahu",Scuba diving & spearfishing,M,-,Right arm severed  FATAL,Two sharks seen in vicinity: 2.4 m & 4.25 m  [8' & 14'] TL
2646,05-Feb-1990,1990.0,Unprovoked,USA,Florida,"Monster Hole, Sebastian Inlet, Indian River County",Board sailing,M,33,Foot bitten,-
2647,12-Jan-1990,1990.0,Unprovoked,USA,California,"Montera Beach, San Mateo County",Surfing (sitting on his board),M,-,"No injury, board bitten",3 m to 4 m [10' to 13'] white shark
2648,1990,1990.0,Unprovoked,USA,Florida,"Pensacola, Escambia County",Surfing,M,17,-,-
2649,19-Dec-1989,1989.0,Provoked,USA,Hawaii,"90 miles east of Hilo, Hawai'i",On board 51' fishing vessel One Ki,M,-,Left leg & foot bitten  by shark brought onboard. PROVOKED INCIDENT,-
2650,03- Dec-1989,1989.0,Unprovoked,AUSTRALIA,Northern Territory,Gove Peninsula near Darwin,-,M,17,"No details, ""recovering in Darwin Hospital""","Tiger shark, 2m "
2651,02-Dec-1989,1989.0,Invalid,AUSTRALIA,Queensland,Fraser Island,Swimming,M,27,"Swept out to sea, feared taken by shark",Shark involvement prior to death was not confirmed
2652,22-Nov-1989,1989.0,Unprovoked,AUSTRALIA,Victoria,Kilcunda,Surfing,M,32,Thigh bitten,White shark
2653,18-Nov-1989,1989.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Melkbosstrand,Free diving & spearfishing,M,29,FATAL,White shark
2654,12-Nov-1989,1989.0,Invalid,USA,Hawaii,"Ehukai Beach Park, Sunset Beach, O'ahu","Wading, knocked down & swept away by large waves",M,-,Lower porton of body recovered 3 days later. Note: rare sighting of shark made at same beach on 11-5-1989 ,Shark involvement prior to death was not confirmed
2655,02-Nov-1989,1989.0,Unprovoked,AUSTRALIA,Queensland,Mermaid Waters,Swimming in canal,M,10,Left ankle broken & lacerated,"2 m shark, possibly a bronze whaler"
2656,Reported 29-Oct-1989,1989.0,Unprovoked,AUSTRALIA,Northern Territory,Edith Falls,Swimming,F,31,Puncture marks to right calf,-
2657,22-Oct-1989,1989.0,Unprovoked,AUSTRALIA,Tasmania,Shelly Point ,Surfing,M,17,"No injury, board bitten",2.7 m [9'] white shark
2658,14-Oct-1989,1989.0,Invalid,USA,Hawaii,"Kahe Point, O'ahu",Scuba diving,M,-,"Disappeared 15 minutes into shallow dive. Decapitated body minus arm found by divers the following morning, then a large tiger shark appeared and consumed most of remains",Shark involvement suspected but not confirmed
2659,11-Oct-1989,1989.0,Unprovoked,USA,Texas,Surfside Beach,Surfing,M,12,Foot & leg bitten,4' shark
2660,08-Oct-1989,1989.0,Invalid,USA,North Carolina,"Between Wrightsville Beach & Carolina Beach, New Hanover County",Diving,M,49,FATAL,Shark involvement suspected but not confirmed
2661,01-Oct-1989,1989.0,Unprovoked,AUSTRALIA,Victoria,"Surfers Point, Phillip Island",Surfing,M,-,No details,White shark
2662,17-Sep-1989,1989.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Smitswinkel, False Bay",Free diving,M,29,Chest lacerated,"White shark, identified by tooth pattern"
2663,13-Sep-1989,1989.0,Provoked,USA,Florida,"Gulf of Mexico, 22 miles from Pensacola","Fishing, stepped on hooked shark's head",M,51,Bitten by hooked shark PROVOKED INCIDENT,150-lb shark
2664,10-Sep-1989,1989.0,Boat,USA,California,"Off Palos Verdes Estates, Los Angeles",Observing a shark feeding on a carcass of a humpback whale,-,-,No injury to occupants. Shark bit boat's swim step & repeatedly pushed the boat away whenever if came within 4 to 5 m of the whale carcass,4 to 5 m white shark
2665,09-Sep-1989,1989.0,Unprovoked,USA,California,"Southeast Farallon Island, Farallon Islands",Hookah diving for abalone (descending),M,38,Leg bitten,4 m to 5 m [13' to 16.5']  white shark
2666,09-Sep-1989,1989.0,Unprovoked,USA,North Carolina,"Salvo, Dare County",Surfing,M,31,Non-fatal,Sandbar shark
2667,03-Sep-1989,1989.0,Provoked,USA,California,24 km off Santa Catalina Island in the Channel Islands,Filming 5' blue shark,M,46,Hand  & both arms bitten   PROVOKED INCIDENT,Blue Shark 
2668,29-Aug-1989,1989.0,Provoked,AUSTRALIA,Queensland,SeaWorld Theme Park,Feeding fish,M,30,Left leg bitten by captive shark                   PROVOKED INCIDENT,Grey nurse shark
2669,22-Aug-1989,1989.0,Unprovoked,USA,Florida,"St Augustine, St Johns County",Swimming,M,21,3 wounds on left hand,1.2 m [4'] shark
2670,22-Aug-1989,1989.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,M,21,Multiple Injuries,>3.4 m [11'] white shark
2671,13-Aug-1989,1989.0,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,17,"No injury, shark took chunk out of surfboard","Bronze whaler shark, 3 m [10'] "
2672,09-Aug-1989,1989.0,Unprovoked,BAHAMAS,Great Exuma Island,Highborn Cay,Spearfishing,F,31,Severe hand and arm injuries; right hand surgically amputated,-
2673,Reported    06-Aug-1989,1989.0,Provoked,AUSTRALIA,Queensland,Moreton Bay,Fishing for sharks,M,41,Laceration to arm  PROVOKED INCIDENT,3.5 m white shark
2674,27-Jul-1989,1969.0,Invalid,BERMUDA,-,-,Scuba diving,M,35,FATAL,Shark involvement suspected but not confirmed
2675,20-Jul-1989,1989.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Surfing,M,34,Torso bitten,2.5 m [8.25'] white shark
2676,19-Jul-1989,1989.0,Unprovoked,REUNION,Sainte-Suzanne,Temple Tamoule,Surfing,M,-,FATAL,-
2677,14-Jul-1989,1989.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,16,5-inch gash on left leg,-
2678,07-Jul-1989,1989.0,Unprovoked,USA,Texas,"Sargent Beach, Matagorda County",Playing ,F,9,Leg bitten,4' shark
2679,29-Jun-1989,1989.0,Unprovoked,USA,Hawaii,"Anahola, Kaua'i",Fell off surfboard 20' from shore,M,-,Foot & ankle severely bitten,-
2680,17-Jun-1989,1989.0,Unprovoked,USA,Louisiana,40 miles off Cocodrie,Spearfishing,M,45,Puncture wounds & lacerations to both legs,1.8 m [6'] sandtiger shark
2681,06-Jun-1989,1989.0,Unprovoked,ITALY,Tuscany,"Marinella, between Punta Blanca & Marine del Carrara ",Windsurfing (urinating on his board),M,-,Upper right thigh bitten,3 m [10'] white shark
2682,05-Jun-1989,1989.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Surfing,M,16,"No injury, board bitten",3 m [10'] white shark
2683,03-Jun-1989,1989.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie,Free diving,M,28,Forearm bitten,2.5 m [8.25'] white shark
2684,Jun-1989,1989.0,Invalid,JAPAN,Sea of Japan,-,-,M,-,"Doubtful incident, needs investigation",-
2685,23-Apr-1989,1989.0,Unprovoked,USA,Florida,"Loggerhead Park, Juno Beach, Palm Beach County",Swimming,M,19,Right calf bitten,1.2 m [4'] shark
2686,12-Apr-1989,1989.0,Unprovoked,USA,Washington,"Pacific Beach, Grays Harbor County",Surfing (lying prone on his board),M,-,Forearm bitten,White shark
2687,09-Apr-1989,1989.0,Boat,USA,California,"Monterey Bay, Monterey County",-,-,-,No injury to occupants. Shark rammed boat 4 times,5 m to 7 m white shark
2688,03-Apr-1989,1989.0,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",Paddling on surfboard,M,-,Calf lacerated,-
